"code","name","portfolio_lvr","standard_lvr","single_lvr"
"GNE","GENESIS ENERGY LIMITED","45","40","35"
"LIC","LIFESTYLE COMMUNITIES LIMITED","50","45","40"
"GOAT","VANECK MORNINGSTAR INTERNATIONAL WIDE MOAT ETF","70","65","60"
"LLC","LENDLEASE GROUP","65","60","55"
"GOLD","GLOBAL X PHYSICAL GOLD","80","75","70"
"LOV","LOVISA HOLDINGS LIMITED","50","45","40"
"GOR","GOLD ROAD RESOURCES LIMITED","50","45","40"
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","65","60","55"
"L1","LONG SHORT FUND LIMITED","60","55","50"
"GPT","GPT GROUP","70","65","60"
"LTR","LIONTOWN RESOURCES LIMITED","40","0","0"
"LYC","LYNAS RARE EARTHS LIMITED","55","50","45"
"GRNV","VANECK MSCI AUSTRALIAN SUSTAINABLE EQUITY ETF","80","75","70"
"MAET","MUNRO GLOBAL GROWTH FUND COMPLEX ETF","55","50","45"
"GRR","GRANGE RESOURCES LIMITED","40","0","0"
"MAH","MACMAHON HOLDINGS LIMITED","40","0","0"
"GVF","STAUDE CAPITAL GLOBAL VALUE FUND LIMITED","50","45","40"
"MAQ","MACQUARIE TECHNOLOGY GROUP LIMITED","40","35","30"
"GWA","GWA GROUP LIMITED","55","50","45"
"MBLPC","MACQUARIE BANK LIMITED","80","75","70"
"GYG","GUZMAN Y GOMEZ LIMITED","50","45","40"
"MBLPD","MACQUARIE BANK LIMITED","80","75","70"
"HACK","BETASHARES GLOBAL CYBERSECURITY ETF","70","65","60"
"MCY","MERCURY NZ LIMITED","40","0","0"
"MANAGED","FUND","80","75","70"
"MEZ","MERIDIAN ENERGY LIMITED","50","45","40"
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","45","40","35"
"MFF","MFF CAPITAL INVESTMENTS LIMITED","75","70","65"
"HDN","HOMECO DAILY NEEDS REIT","65","60","55"
"MFG","MAGELLAN FINANCIAL GROUP LIMITED","55","50","45"
"MGH","MAAS GROUP HOLDINGS LIMITED","45","40","35"
"HGEN","GLOBAL X HYDROGEN ETF","55","50","45"
"HLI","HELIA GROUP LIMITED","40","0","0"
"MGR","MIRVAC GROUP","70","65","60"
"HLS","HEALIUS LIMITED","40","0","0"
"MGX","MOUNT GIBSON IRON LIMITED","40","35","30"
"HLTH","VANECK GLOBAL HEALTHCARE LEADERS ETF","70","65","60"
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","65","60","55"
"HMC","HMC CAPITAL LIMITED","60","55","50"
"MIN","MINERAL RESOURCES LIMITED","60","55","50"
"100","CURRENCY HEDGED ETF","75","70","65"
"MIR","MIRRABOOKA INVESTMENTS LIMITED","60","55","50"
"HPG","HIPAGES GROUP HOLDINGS LTD","40","0","0"
"MLX","METALS X LIMITED","40","0","0"
"HPI","HOTEL PROPERTY INVESTMENTS","45","40","35"
"MMS","MCMILLAN SHAKESPEARE LIMITED","65","60","55"
"HSN","HANSEN TECHNOLOGIES LIMITED","50","45","40"
"MND","MONADELPHOUS GROUP LIMITED","65","60","55"
"HUB24","LIMITED","50","45","40"
"CURRENCY","HEDGED","65","60","55"
"HVN","HARVEY NORMAN HOLDINGS LIMITED","70","65","60"
"MOAT","VANECK MORNINGSTAR WIDE MOAT ETF","75","70","65"
"MOT","METRICS INCOME OPPORTUNITIES TRUST","45","40","35"
"50","ETF","70","65","60"
"MPL","MEDIBANK PRIVATE LIMITED","70","65","60"
"IAF","ISHARES CORE COMPOSITE BOND ETF","80","75","70"
"MQG","MACQUARIE GROUP LIMITED","80","75","70"
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","80","75","70"
"MQGPD","MACQUARIE GROUP LIMITED","80","75","70"
"IAGPE","INSURANCE AUSTRALIA GROUP LIMITED","80","75","70"
"MQGPE","MACQUARIE GROUP LIMITED","80","75","70"
"IAGPF","INSURANCE AUSTRALIA GROUP LIMITED","80","75","70"
"MQGPF","MACQUARIE GROUP LIMITED","80","75","70"
"IDX","INTEGRAL DIAGNOSTICS LIMITED","45","40","35"
"MTS","METCASH LIMITED","70","65","60"
