code,name,portfolio_lvr,standard_lvr,single_lvr
ORI,ORICA LIMITED,75,70,65
OZF,SPDR S&P/ASX 200 FINANCIALS EX A-REIT FUND,80,75,70
OZR,SPDR S&P/ASX 200 RESOURCES FUND,80,75,70
PAC,PACIFIC CURRENT GROUP LIMITED,50,45,40
PAI,PLATINUM ASIA INVESTMENTS LIMITED,65,60,55
PAXX,PLATINUM ASIA FUND (QUOTED MANAGED HEDGE FUND),75,70,65
PDN,PALADIN ENERGY LTD,40,0,0
PE1,PENGANA PRIVATE EQUITY TRUST,40,0,0
PFP,PROPEL FUNERAL PARTNERS LIMITED,50,45,40
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,65,60,55
PGH,PACT GROUP HOLDINGS LTD,40,0,0
PIA,PENGANA INTERNATIONAL EQUITIES LIMITED,65,60,55
PIC,PERPETUAL EQUITY INVESTMENT COMPANY LIMITED,70,65,60
PIXX,PLATINUM INTERNATIONAL FUND (QUOTED MANAGED HEDGEFUND),75,70,65
PL8,PLATO INCOME MAXIMISER LIMITED,65,60,55
PLS,PILBARA MINERALS LIMITED,45,40,35
PMC,PLATINUM CAPITAL LIMITED,60,55,50
PME,PRO MEDICUS LIMITED,50,45,40
PMGOLD,PERTH MINT GOLD A,75,70,65
PMV,PREMIER INVESTMENTS LIMITED,65,60,55
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,60,55,50
PNV,POLYNOVO LIMITED,40,0,0
PPC,PEET LIMITED,40,0,0
PPM,PEPPER MONEY LIMITED,40,0,0
PPS,PRAEMIUM LIMITED,40,35,30
PPT,PERPETUAL LIMITED ,65,60,55
PRN,PERENTI LIMITED,40,0,0
PRU,PERSEUS MINING LIMITED,65,60,55
PTM,PLATINUM ASSET MANAGEMENT LIMITED,55,50,45
PWH,PWR HOLDINGS LIMITED,55,50,45
PXA,PEXA GROUP LIMITED,55,50,45
QAN,QANTAS AIRWAYS LIMITED,75,70,65
QAU,BETASHARES GOLD BULLION ETF - CURRENCY HEDGED,80,75,70
QBE,QBE INSURANCE GROUP LIMITED,75,70,65
QFN,BETASHARES AUSTRALIAN FINANCIALS SECTOR ETF,80,75,70
QHAL,VANECK MSCI INTERNATIONAL QUALITY (AUD HEDGED) ETF,75,70,65
QLTY,BETASHARES GLOBAL QUALITY LEADERS ETF,70,65,60
QOZ,BETASHARES FTSE RAFI AUSTRALIA 200 ETF,80,75,70
QPON,BETASHARES AUSTRALIAN BANK SENIOR FLOATING RATE BOND ETF,80,75,70
QRE,BETASHARES AUSTRALIAN RESOURCES SECTOR ETF,80,75,70
QSML,VANECK MSCI INTL SMALL COMPANIES QUALITY ETF,75,70,65
QUAL,VANECK MSCI INTERNATIONAL QUALITY ETF,75,70,65
QUB,QUBE HOLDINGS LIMITED,70,65,60
QUS,BETASHARES S&P 500 EQUAL WEIGHT ETF,75,70,65
RARI,RUSSELL INVESTMENTS AUSTRALIAN RESPONSIBLE INVESTMENT ETF,75,70,65
RBTZ,BETASHARES GLOBAL ROBOTICS AND ARTIFICIAL INTELLIGENCE ETF,65,60,55
RCAP,RESOLUTION CAP GLOBAL PROP SEC (MANAGED FUND),75,70,65
RDV,RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF,80,75,70
REA,REA GROUP LTD,65,60,55
REG,REGIS HEALTHCARE LIMITED,40,35,30
REH,REECE LIMITED,60,55,50
REIT,VANECK FTSE INTERNATIONAL PROPERTY (AUD HEDGED) ETF,60,55,50
REP ,RAM ESSENTIAL SERVICES PROPERTY FUND,45,40,35
RF1,REGAL INVESTMENT FUND,45,40,35
RFF,RURAL FUNDS GROUP,55,50,45
RG8,REGAL ASIAN INVESTMENTS LIMITED,50,45,40
RGN,REGION GROUP,70,65,60
RHC,RAMSAY HEALTH CARE LIMITED,70,65,60
RHCPA,RAMSAY HEALTH CARE LIMITED,70,65,60
RIC,RIDLEY CORPORATION LIMITED,50,45,40
RIO,RIO TINTO LIMITED,80,75,70
RMD,RESMED INC.,70,65,60
RMS,RAMELIUS RESOURCES LIMITED,50,45,40
ROBO,GLOBAL X ROBO GLOBAL ROBOTICS AND AUTOMATION ETF,65,60,55
RPL,REGAL PARTNERS LIMITED,40,0,0
RRL,REGIS RESOURCES LIMITED,55,50,45
RUL,RPMGLOBAL HOLDINGS LIMITED,40,0,0
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,60,55,50
S32,SOUTH32 LIMITED,75,70,65
SCG,SCENTRE GROUP,70,65,60
SDF,STEADFAST GROUP LIMITED,65,60,55
SDR,SITEMINDER LIMITED,40,0,0
SEC,SPHERIA EMERGING COMPANIES LIMITED,65,60,55
SEK,SEEK LIMITED,70,65,60
SEMI,GLOBAL X SEMICONDUCTOR ETF,65,60,55
SFR,SANDFIRE RESOURCES LIMITED,55,50,45
SFY,SPDR S&P/ASX50 FUND,80,75,70
SGF,SG FLEET GROUP LIMITED,40,35,30
SGH,SGH LIMITED,70,65,60
SGM,SIMS LIMITED,65,60,55
SGP,STOCKLAND,75,70,65
SHL,SONIC HEALTHCARE LIMITED,75,70,65
SHV,SELECT HARVESTS LIMITED,45,40,35
SIG,SIGMA HEALTHCARE LIMITED,40,35,30
SIQ,SMARTGROUP CORPORATION LTD,60,55,50
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,45,40,35
SLC,SUPERLOOP LIMITED,40,35,30
SLF,SPDR S&P/ASX 200 LISTED PROPERTY FUND,70,65,60
SMR,STANMORE RESOURCES LIMITED,40,0,0
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,65,60,55
SPK,SPARK NEW ZEALAND LIMITED,70,65,60
SPY,SPDR S&P 500 ETF TRUST,80,75,70
SQ2,BLOCK INC.,40,35,30
SRV,SERVCORP LIMITED,40,0,0
SSM,SERVICE STREAM LIMITED,55,50,45
SSR,SSR MINING INC.,40,0,0
STO,SANTOS LIMITED,75,70,65
STW,SPDR S&P / ASX 200 FUND,80,75,70
SUL,SUPER RETAIL GROUP LIMITED,70,65,60
SUN,SUNCORP GROUP LIMITED,75,70,65
SUNPH,SUNCORP GROUP LIMITED,70,65,60
SUNPI,SUNCORP GROUP LIMITED,75,70,65
SUNPJ,SUNCORP GROUP LIMITED,75,70,65
SVR,SOLVAR LIMITED,40,0,0
SWM,SEVEN WEST MEDIA LIMITED,40,0,0
SWTZ,SWITZER DIVIDEND GROWTH FUND (MANAGED),75,70,65
